Industry,Daily_change
Internet Retail,4.395
Computer Peripherals,3.3350000000000004
Commercial Printing/Forms,2.85
Computer Processing Hardware,2.846
Computer Communications,2.7249999999999996
Electronic Production Equipment,2.647777777777778
Electronics/Appliance Stores,2.57
Semiconductors,2.5136363636363637
Chemicals: Agricultural,2.4388888888888887
Financial Publishing/Services,2.365
Pulp & Paper,2.155
Department Stores,2.15
Internet Software/Services,2.0773333333333333
Casinos/Gaming,2.055
Homebuilding,2.0485714285714285
Other Metals/Minerals,2.042222222222222
Food Distributors,1.97875
Biotechnology,1.9684615384615385
Insurance Brokers/Services,1.9271428571428573
Apparel/Footwear Retail,1.925
Apparel/Footwear,1.9028571428571426
Electronic Equipment/Instruments,1.8487500000000001
Packaged Software,1.830888888888889
Marine Shipping,1.823
Airlines,1.764
Coal,1.763333333333333
Recreational Products,1.7533333333333332
Tools & Hardware,1.73
Data Processing Services,1.6553333333333333
Air Freight/Couriers,1.6414285714285715
Specialty Telecommunications,1.635
Consumer Sundries,1.63
Motor Vehicles,1.6125
Aluminum,1.495
Telecommunications Equipment,1.4583333333333333
Metal Fabrication,1.4116666666666668
Real Estate Development,1.384
Medical Specialties,1.3752000000000002
Home Improvement Chains,1.3399999999999999
Restaurants,1.3121428571428573
Personnel Services,1.27875
Beverages: Non-Alcoholic,1.2533333333333332
Investment Banks/Brokers,1.2404545454545455
Pharmaceuticals: Major,1.227058823529412
Discount Stores,1.1966666666666668
Oil Refining/Marketing,1.161111111111111
Pharmaceuticals: Generic,1.15
Beverages: Alcoholic,1.1199999999999999
Finance/Rental/Leasing,1.1192857142857142
Trucking,1.0741666666666665
Miscellaneous Manufacturing,1.05125
Information Technology Services,1.036190476190476
Electrical Products,1.0306666666666666
Water Utilities,1.0283333333333333
Other Consumer Services,1.005294117647059
Electronic Components,0.9114285714285714
Industrial Machinery,0.8731034482758621
Building Products,0.8223529411764706
Hotels/Resorts/Cruise lines,0.7969999999999999
Aerospace & Defense,0.7895652173913044
Engineering & Construction,0.769375
Services to the Health Industry,0.7466666666666667
Miscellaneous Commercial Services,0.7089655172413794
Forest Products,0.7060000000000001
Trucks/Construction/Farm Machinery,0.6977777777777778
Food: Specialty/Candy,0.6569230769230769
Office Equipment/Supplies,0.6466666666666666
Broadcasting,0.6142857142857142
Medical Distributors,0.6083333333333333
Food Retail,0.59
Wholesale Distributors,0.5604761904761905
Specialty Stores,0.5380952380952381
Containers/Packaging,0.524
Financial Conglomerates,0.506
Agricultural Commodities/Milling,0.49375
Automotive Aftermarket,0.45999999999999996
Specialty Insurance,0.44333333333333336
Cable/Satellite TV,0.42000000000000004
Household/Personal Care,0.3733333333333333
Investment Managers,0.36702702702702705
Environmental Services,0.352
Industrial Specialties,0.3352941176470588
Pharmaceuticals: Other,0.30642857142857144
Chemicals: Major Diversified,0.29624999999999996
Industrial Conglomerates,0.2957142857142857
Auto Parts: OEM,0.29100000000000004
Textiles,0.27
Electronics Distributors,0.2575
Tobacco,0.20333333333333334
Contract Drilling,0.2016666666666667
Multi-Line Insurance,0.1757142857142857
Advertising/Marketing Services,0.16333333333333325
Construction Materials,0.13000000000000003
Property/Casualty Insurance,0.12888888888888891
Managed Health Care,0.11166666666666665
Railroads,0.08000000000000003
Media Conglomerates,0.044999999999999984
Movies/Entertainment,0.025555555555555578
Steel,-0.03333333333333325
Life/Health Insurance,-0.04153846153846153
Oil & Gas Pipelines,-0.07090909090909091
Alternative Power Generation,-0.08666666666666666
Chemicals: Specialty,-0.08952380952380952
Oilfield Services/Equipment,-0.11333333333333336
Major Banks,-0.11730769230769231
Medical/Nursing Services,-0.12000000000000001
Integrated Oil,-0.21933333333333327
Major Telecommunications,-0.2583333333333333
Electronics/Appliances,-0.27
Food: Major Diversified,-0.2855555555555555
Other Consumer Specialties,-0.33
Regional Banks,-0.3355339805825243
Wireless Telecommunications,-0.4055555555555556
Oil & Gas Production,-0.5384375
Savings Banks,-0.54
Gas Distributors,-0.6341666666666667
Food: Meat/Fish/Dairy,-0.6425
Precious Metals,-0.6815384615384615
Drugstore Chains,-0.705
Electric Utilities,-0.7275555555555556
Investment Trusts/Mutual Funds,-0.79
Other Transportation,-0.795
Publishing: Newspapers,-0.9966666666666667
Hospital/Nursing Management,-1.2883333333333333
Publishing: Books/Magazines,-4.405
