Industry,Daily_change
Computer Communications,5.325
Tools & Hardware,4.89
Apparel/Footwear Retail,4.196666666666666
Motor Vehicles,4.145
Homebuilding,3.8475
Casinos/Gaming,3.72
Personnel Services,3.54
Internet Retail,3.4875
Forest Products,3.48
Specialty Stores,3.475
Hotels/Resorts/Cruise lines,3.4270000000000005
Miscellaneous Manufacturing,3.2659999999999996
Wholesale Distributors,3.218
Pulp & Paper,3.1999999999999997
Medical Specialties,3.172962962962963
Regional Banks,3.159263157894737
Metal Fabrication,3.112
Apparel/Footwear,3.1075
Airlines,3.09
Recreational Products,2.9711111111111115
Automotive Aftermarket,2.91
Trucking,2.87
Cable/Satellite TV,2.751666666666667
Building Products,2.676
Food Retail,2.6557142857142857
Containers/Packaging,2.6286666666666667
Finance/Rental/Leasing,2.6074074074074076
Electrical Products,2.55625
Investment Managers,2.5387096774193547
Textiles,2.51
Food Distributors,2.47875
Data Processing Services,2.448823529411765
Steel,2.4315384615384614
Home Improvement Chains,2.405
Office Equipment/Supplies,2.396666666666667
Electronic Equipment/Instruments,2.38875
Electronics Distributors,2.3875
Department Stores,2.3474999999999997
Publishing: Newspapers,2.3466666666666667
Discount Stores,2.3299999999999996
Other Transportation,2.325
Major Banks,2.2420833333333334
Other Consumer Specialties,2.24
Savings Banks,2.23
Food: Major Diversified,2.211111111111111
Miscellaneous Commercial Services,2.1875757575757575
Real Estate Development,2.173636363636364
Construction Materials,2.1375
Industrial Conglomerates,2.085
Investment Banks/Brokers,2.073
Chemicals: Specialty,2.05875
Computer Processing Hardware,2.056
Semiconductors,2.032857142857143
Industrial Machinery,2.004166666666667
Air Freight/Couriers,2.0033333333333334
Food: Meat/Fish/Dairy,1.9975
Trucks/Construction/Farm Machinery,1.967857142857143
Restaurants,1.9481818181818182
Chemicals: Major Diversified,1.84375
Computer Peripherals,1.8379999999999999
Industrial Specialties,1.8226666666666667
Consumer Sundries,1.82
Food: Specialty/Candy,1.8164285714285715
Advertising/Marketing Services,1.7933333333333332
Electronic Components,1.7107142857142856
Electronics/Appliances,1.71
Household/Personal Care,1.695
Packaged Software,1.6576190476190478
Services to the Health Industry,1.6533333333333333
Pharmaceuticals: Other,1.62
Movies/Entertainment,1.616470588235294
Life/Health Insurance,1.6
Information Technology Services,1.541081081081081
Internet Software/Services,1.5339999999999998
Auto Parts: OEM,1.51
Financial Conglomerates,1.51
Tobacco,1.48
Other Consumer Services,1.4561111111111111
Drugstore Chains,1.4500000000000002
Financial Publishing/Services,1.425
Environmental Services,1.417
Electronic Production Equipment,1.385
Beverages: Non-Alcoholic,1.3514285714285716
Railroads,1.3216666666666665
Hospital/Nursing Management,1.2583333333333333
Chemicals: Agricultural,1.188
Telecommunications Equipment,1.1716666666666666
Broadcasting,1.1322222222222222
Engineering & Construction,1.1039999999999999
Aerospace & Defense,1.071304347826087
Oil & Gas Pipelines,0.9616
Specialty Telecommunications,0.945
Water Utilities,0.9250000000000002
Managed Health Care,0.9116666666666667
Biotechnology,0.8978571428571429
Medical/Nursing Services,0.8944444444444445
Insurance Brokers/Services,0.8933333333333334
Major Telecommunications,0.8871428571428571
Electric Utilities,0.864375
Specialty Insurance,0.7224999999999999
Gas Distributors,0.6561538461538461
Beverages: Alcoholic,0.5633333333333334
Pharmaceuticals: Major,0.43390243902439024
Wireless Telecommunications,0.3722222222222222
Property/Casualty Insurance,0.34555555555555556
Publishing: Books/Magazines,0.30999999999999994
Alternative Power Generation,0.27166666666666667
Multi-Line Insurance,-0.043571428571428546
Oil Refining/Marketing,-0.054444444444444406
Marine Shipping,-0.12749999999999997
Other Metals/Minerals,-0.1463636363636364
Media Conglomerates,-0.43500000000000005
Agricultural Commodities/Milling,-0.7571428571428572
Integrated Oil,-0.8413333333333333
Medical Distributors,-1.21
Investment Trusts/Mutual Funds,-1.3033333333333335
Contract Drilling,-1.3142857142857143
Aluminum,-1.415
Oilfield Services/Equipment,-1.6828571428571428
Precious Metals,-1.8728571428571428
Coal,-2.065
Oil & Gas Production,-2.0697058823529413
