Industry,RS_Rating
Coal,99.33333333333333
Oil & Gas Production,93.93548387096774
Integrated Oil,93.06666666666666
Aluminum,92.5
Marine Shipping,88.6
Contract Drilling,88.5
Investment Trusts/Mutual Funds,88.0
Food Retail,87.5
Chemicals: Agricultural,85.33333333333333
Insurance Brokers/Services,83.85714285714286
Environmental Services,83.5
Oilfield Services/Equipment,82.91666666666667
Oil & Gas Pipelines,82.04761904761905
Home Improvement Chains,82.0
Computer Peripherals,80.33333333333333
Pharmaceuticals: Generic,80.0
Managed Health Care,78.33333333333333
Computer Communications,78.16666666666667
Other Metals/Minerals,77.77777777777777
Steel,77.58333333333333
Publishing: Books/Magazines,77.5
Other Transportation,77.5
Agricultural Commodities/Milling,75.28571428571429
Pulp & Paper,75.0
Pharmaceuticals: Major,74.85714285714286
Real Estate Development,74.64285714285714
Electronic Production Equipment,74.4
Water Utilities,73.16666666666667
Media Conglomerates,73.0
Multi-Line Insurance,72.71428571428571
Air Freight/Couriers,72.16666666666667
Precious Metals,71.91666666666667
Forest Products,71.8
Internet Software/Services,71.54545454545455
Specialty Stores,71.44444444444444
Major Banks,71.07692307692308
Medical Distributors,71.0
Services to the Health Industry,71.0
Wholesale Distributors,70.82352941176471
Railroads,70.33333333333333
Personnel Services,70.0
Hospital/Nursing Management,69.16666666666667
Specialty Insurance,68.33333333333333
Financial Conglomerates,67.875
Oil Refining/Marketing,67.77777777777777
Engineering & Construction,67.53846153846153
Major Telecommunications,67.5
Alternative Power Generation,67.5
Industrial Specialties,67.42857142857143
Hotels/Resorts/Cruise lines,67.125
Investment Banks/Brokers,66.72222222222223
Department Stores,66.0
Electric Utilities,65.55555555555556
Investment Managers,64.85185185185185
Aerospace & Defense,64.71428571428571
Gas Distributors,64.66666666666667
Telecommunications Equipment,64.66666666666667
Drugstore Chains,64.5
Computer Processing Hardware,64.4
Information Technology Services,64.03030303030303
Pharmaceuticals: Other,63.81818181818182
Food: Specialty/Candy,63.7
Tobacco,63.333333333333336
Property/Casualty Insurance,63.333333333333336
Casinos/Gaming,63.2
Finance/Rental/Leasing,63.18181818181818
Medical/Nursing Services,62.875
Auto Parts: OEM,62.833333333333336
Specialty Telecommunications,62.666666666666664
Medical Specialties,62.121212121212125
Trucking,61.5
Financial Publishing/Services,61.5
Food: Meat/Fish/Dairy,61.25
Semiconductors,61.18181818181818
Advertising/Marketing Services,61.0
Discount Stores,61.0
Miscellaneous Manufacturing,60.833333333333336
Biotechnology,60.80952380952381
Chemicals: Specialty,60.611111111111114
Beverages: Non-Alcoholic,59.4
Construction Materials,59.4
Homebuilding,59.375
Metal Fabrication,59.333333333333336
Containers/Packaging,58.92857142857143
Life/Health Insurance,58.30769230769231
Data Processing Services,58.083333333333336
Packaged Software,58.0
Regional Banks,57.96969696969697
Miscellaneous Commercial Services,57.73913043478261
Building Products,57.266666666666666
Motor Vehicles,57.0
Other Consumer Services,56.84615384615385
Electrical Products,56.785714285714285
Electronics Distributors,56.25
Broadcasting,56.166666666666664
Textiles,56.0
Chemicals: Major Diversified,55.75
Electronic Components,53.916666666666664
Household/Personal Care,53.44444444444444
Industrial Machinery,53.23076923076923
Wireless Telecommunications,53.0
Automotive Aftermarket,53.0
Beverages: Alcoholic,52.0
Savings Banks,51.857142857142854
Food: Major Diversified,51.77777777777778
Movies/Entertainment,51.5
Apparel/Footwear,49.0
Office Equipment/Supplies,48.5
Trucks/Construction/Farm Machinery,47.785714285714285
Restaurants,46.3
Tools & Hardware,46.0
Apparel/Footwear Retail,46.0
Food Distributors,45.666666666666664
Airlines,45.0
Internet Retail,44.0
Recreational Products,42.44444444444444
Cable/Satellite TV,41.333333333333336
Electronics/Appliances,39.5
Industrial Conglomerates,37.333333333333336
Consumer Sundries,35.0
Publishing: Newspapers,34.666666666666664
Electronic Equipment/Instruments,34.2
Other Consumer Specialties,27.0
