Industry,RS_Rating
Coal,99.16666666666667
Aluminum,97.5
Oil & Gas Production,96.24242424242425
Contract Drilling,95.85714285714286
Integrated Oil,93.8
Chemicals: Agricultural,90.2
Pulp & Paper,86.0
Other Metals/Minerals,85.9090909090909
Investment Trusts/Mutual Funds,85.33333333333333
Marine Shipping,85.2
Oilfield Services/Equipment,83.61538461538461
Insurance Brokers/Services,82.83333333333333
Oil & Gas Pipelines,82.375
Steel,81.0
Oil Refining/Marketing,80.88888888888889
Managed Health Care,80.16666666666667
Food Retail,79.0
Agricultural Commodities/Milling,75.75
Computer Communications,74.33333333333333
Pharmaceuticals: Major,73.84444444444445
Alternative Power Generation,73.0
Real Estate Development,72.76923076923077
Multi-Line Insurance,72.35714285714286
Medical Distributors,71.83333333333333
Personnel Services,71.0
Precious Metals,70.91666666666667
Environmental Services,70.6
Water Utilities,70.5
Motor Vehicles,70.0
Internet Software/Services,69.2
Electric Utilities,68.82978723404256
Food: Meat/Fish/Dairy,68.75
Department Stores,68.5
Property/Casualty Insurance,68.29411764705883
Financial Publishing/Services,68.0
Wholesale Distributors,67.83333333333333
Major Telecommunications,66.71428571428571
Hospital/Nursing Management,66.66666666666667
Advertising/Marketing Services,66.66666666666667
Gas Distributors,66.07692307692308
Other Transportation,66.0
Specialty Stores,65.94117647058823
Tobacco,65.66666666666667
Investment Banks/Brokers,65.5
Computer Peripherals,65.0
Aerospace & Defense,64.5909090909091
Casinos/Gaming,64.4
Services to the Health Industry,64.33333333333333
Finance/Rental/Leasing,64.16
Industrial Specialties,64.13333333333334
Engineering & Construction,63.53333333333333
Data Processing Services,63.266666666666666
Information Technology Services,63.10526315789474
Publishing: Books/Magazines,63.0
Major Banks,62.92
Hotels/Resorts/Cruise lines,62.888888888888886
Railroads,62.833333333333336
Biotechnology,62.5625
Investment Managers,62.44117647058823
Internet Retail,61.5
Packaged Software,61.48837209302326
Discount Stores,60.666666666666664
Life/Health Insurance,60.15384615384615
Electronic Production Equipment,60.0
Air Freight/Couriers,59.75
Chemicals: Specialty,59.72727272727273
Specialty Telecommunications,59.5
Medical Specialties,59.35849056603774
Food: Specialty/Candy,59.142857142857146
Medical/Nursing Services,58.44444444444444
Financial Conglomerates,58.25
Miscellaneous Manufacturing,58.0
Metal Fabrication,57.833333333333336
Auto Parts: OEM,57.0
Movies/Entertainment,57.0
Semiconductors,56.833333333333336
Food: Major Diversified,56.75
Wireless Telecommunications,56.666666666666664
Telecommunications Equipment,56.666666666666664
Computer Processing Hardware,56.6
Specialty Insurance,56.55555555555556
Chemicals: Major Diversified,56.142857142857146
Drugstore Chains,55.5
Electrical Products,55.388888888888886
Miscellaneous Commercial Services,54.74193548387097
Food Distributors,54.625
Construction Materials,53.666666666666664
Containers/Packaging,53.333333333333336
Other Consumer Services,52.55555555555556
Home Improvement Chains,52.5
Building Products,52.4
Media Conglomerates,52.0
Office Equipment/Supplies,51.5
Broadcasting,51.22222222222222
Commercial Printing/Forms,51.0
Beverages: Non-Alcoholic,51.0
Beverages: Alcoholic,51.0
Regional Banks,50.913978494623656
Household/Personal Care,49.81818181818182
Forest Products,49.25
Electronic Components,49.15384615384615
Industrial Machinery,49.04347826086956
Pharmaceuticals: Other,49.0
Restaurants,48.083333333333336
Automotive Aftermarket,47.0
Textiles,47.0
Trucking,43.375
Apparel/Footwear,43.285714285714285
Electronic Equipment/Instruments,43.111111111111114
Savings Banks,42.46153846153846
Trucks/Construction/Farm Machinery,41.13333333333333
Recreational Products,40.0
Electronics Distributors,37.666666666666664
Electronics/Appliances,35.333333333333336
Other Consumer Specialties,35.0
Tools & Hardware,35.0
Publishing: Newspapers,34.333333333333336
Cable/Satellite TV,33.2
Apparel/Footwear Retail,32.75
Industrial Conglomerates,32.57142857142857
Airlines,29.333333333333332
Homebuilding,25.0
Consumer Sundries,23.0
