Industry,RS_Rating
Coal,99.16666666666667
Contract Drilling,96.14285714285714
Oil & Gas Production,95.67647058823529
Integrated Oil,94.73333333333333
Chemicals: Agricultural,91.9
Oilfield Services/Equipment,89.71428571428571
Oil Refining/Marketing,88.33333333333333
Marine Shipping,88.25
Other Metals/Minerals,87.0
Department Stores,86.75
Investment Trusts/Mutual Funds,85.33333333333333
Oil & Gas Pipelines,84.24
Steel,84.23076923076923
Agricultural Commodities/Milling,82.85714285714286
Insurance Brokers/Services,79.5
Food Retail,77.85714285714286
Computer Communications,75.83333333333333
Medical Distributors,74.0
Managed Health Care,73.83333333333333
Food: Meat/Fish/Dairy,73.5
Real Estate Development,73.27272727272727
Aluminum,73.0
Personnel Services,72.875
Casinos/Gaming,72.83333333333333
Multi-Line Insurance,72.14285714285714
Hotels/Resorts/Cruise lines,70.3
Pharmaceuticals: Major,70.1219512195122
Environmental Services,69.5
Specialty Stores,69.25
Wholesale Distributors,68.45
Metal Fabrication,67.0
Alternative Power Generation,66.83333333333333
Internet Software/Services,66.73333333333333
Major Telecommunications,66.28571428571429
Finance/Rental/Leasing,66.22222222222223
Hospital/Nursing Management,66.0
Precious Metals,65.92857142857143
Investment Banks/Brokers,65.8
Advertising/Marketing Services,65.0
Tobacco,64.75
Pulp & Paper,64.66666666666667
Investment Managers,64.58064516129032
Aerospace & Defense,64.21739130434783
Railroads,64.16666666666667
Electric Utilities,63.895833333333336
Major Banks,63.791666666666664
Life/Health Insurance,62.69230769230769
Property/Casualty Insurance,62.0
Computer Peripherals,61.2
Gas Distributors,61.15384615384615
Engineering & Construction,61.06666666666667
Discount Stores,60.75
Industrial Specialties,60.6
Chemicals: Specialty,60.583333333333336
Publishing: Books/Magazines,60.5
Motor Vehicles,60.0
Packaged Software,59.785714285714285
Movies/Entertainment,59.705882352941174
Auto Parts: OEM,58.666666666666664
Miscellaneous Manufacturing,58.6
Food Distributors,58.375
Food: Specialty/Candy,58.285714285714285
Drugstore Chains,58.0
Computer Processing Hardware,57.8
Financial Conglomerates,57.75
Services to the Health Industry,57.666666666666664
Specialty Telecommunications,57.5
Food: Major Diversified,57.44444444444444
Data Processing Services,56.705882352941174
Information Technology Services,56.67567567567568
Telecommunications Equipment,56.333333333333336
Building Products,56.2
Medical/Nursing Services,55.333333333333336
Biotechnology,55.285714285714285
Other Consumer Services,55.22222222222222
Regional Banks,54.45263157894737
Medical Specialties,54.2037037037037
Miscellaneous Commercial Services,53.84848484848485
Forest Products,53.5
Wireless Telecommunications,53.333333333333336
Financial Publishing/Services,53.0
Semiconductors,52.80952380952381
Electrical Products,52.625
Specialty Insurance,52.375
Media Conglomerates,52.0
Beverages: Alcoholic,51.666666666666664
Containers/Packaging,51.0
Air Freight/Couriers,50.833333333333336
Water Utilities,50.333333333333336
Chemicals: Major Diversified,50.25
Apparel/Footwear,50.125
Broadcasting,50.111111111111114
Automotive Aftermarket,49.0
Construction Materials,48.75
Electronic Components,48.0
Beverages: Non-Alcoholic,47.42857142857143
Pharmaceuticals: Other,47.0
Textiles,47.0
Savings Banks,46.09090909090909
Electronic Production Equipment,46.0
Tools & Hardware,46.0
Home Improvement Chains,46.0
Industrial Machinery,45.416666666666664
Electronics/Appliances,45.0
Household/Personal Care,44.5
Apparel/Footwear Retail,44.22222222222222
Airlines,42.75
Trucks/Construction/Farm Machinery,42.57142857142857
Internet Retail,42.5
Restaurants,42.27272727272727
Other Transportation,42.0
Homebuilding,41.75
Office Equipment/Supplies,40.333333333333336
Trucking,39.714285714285715
Recreational Products,38.0
Industrial Conglomerates,34.5
Cable/Satellite TV,32.833333333333336
Electronics Distributors,32.0
Publishing: Newspapers,30.666666666666668
Electronic Equipment/Instruments,30.625
Other Consumer Specialties,25.0
Consumer Sundries,24.0
