Industry,RS_Rating
Coal,99.0
Contract Drilling,96.14285714285714
Oil & Gas Production,95.77142857142857
Integrated Oil,94.6
Chemicals: Agricultural,90.6
Other Metals/Minerals,89.7
Oilfield Services/Equipment,88.13333333333334
Marine Shipping,86.5
Investment Trusts/Mutual Funds,86.0
Oil Refining/Marketing,85.1
Oil & Gas Pipelines,84.64
Steel,83.07692307692308
Department Stores,82.66666666666667
Insurance Brokers/Services,81.16666666666667
Food Retail,77.71428571428571
Agricultural Commodities/Milling,76.625
Managed Health Care,76.5
Computer Communications,76.0
Personnel Services,74.33333333333333
Medical Distributors,73.5
Hotels/Resorts/Cruise lines,73.44444444444444
Multi-Line Insurance,72.78571428571429
Food: Meat/Fish/Dairy,72.25
Wholesale Distributors,71.23809523809524
Casinos/Gaming,70.83333333333333
Real Estate Development,70.75
Pharmaceuticals: Major,70.39024390243902
Aluminum,70.25
Real Estate Investment Trusts,70.0
Environmental Services,69.9
Alternative Power Generation,68.83333333333333
Specialty Stores,68.75
Hospital/Nursing Management,67.83333333333333
Major Telecommunications,67.57142857142857
Advertising/Marketing Services,67.0
Metal Fabrication,66.6
Precious Metals,66.21428571428571
Investment Banks/Brokers,66.1
Internet Software/Services,66.0
Electric Utilities,66.0
Finance/Rental/Leasing,65.88888888888889
Forest Products,64.75
Tobacco,64.75
Gas Distributors,64.3076923076923
Life/Health Insurance,64.07692307692308
Major Banks,64.0
Aerospace & Defense,63.91304347826087
Miscellaneous Manufacturing,63.666666666666664
Pulp & Paper,63.666666666666664
Property/Casualty Insurance,63.55555555555556
Publishing: Books/Magazines,63.5
Railroads,63.333333333333336
Investment Managers,63.0625
Discount Stores,62.0
Engineering & Construction,61.53333333333333
Drugstore Chains,61.0
Computer Peripherals,61.0
Services to the Health Industry,60.666666666666664
Chemicals: Specialty,60.5
Food: Specialty/Candy,60.42857142857143
Industrial Specialties,60.4
Data Processing Services,60.35294117647059
Computer Processing Hardware,60.0
Wireless Telecommunications,59.714285714285715
Food: Major Diversified,59.44444444444444
Specialty Telecommunications,59.0
Food Distributors,58.875
Packaged Software,58.86046511627907
Information Technology Services,58.23684210526316
Movies/Entertainment,58.23529411764706
Building Products,57.583333333333336
Financial Conglomerates,57.0
Medical/Nursing Services,56.55555555555556
Other Consumer Services,56.5
Motor Vehicles,56.333333333333336
Telecommunications Equipment,55.5
Financial Publishing/Services,55.0
Biotechnology,54.5
Medical Specialties,54.14545454545455
Regional Banks,54.06382978723404
Water Utilities,54.0
Miscellaneous Commercial Services,53.705882352941174
Specialty Insurance,53.25
Air Freight/Couriers,53.0
Beverages: Alcoholic,52.666666666666664
Auto Parts: OEM,52.57142857142857
Containers/Packaging,52.0
Semiconductors,51.76190476190476
Broadcasting,51.714285714285715
Chemicals: Major Diversified,51.375
Construction Materials,51.0
Media Conglomerates,50.5
Automotive Aftermarket,50.5
Beverages: Non-Alcoholic,50.285714285714285
Home Improvement Chains,50.0
Electrical Products,49.88235294117647
Trucking,49.375
Pharmaceuticals: Other,49.0
Electronic Production Equipment,48.333333333333336
Electronic Components,48.142857142857146
Apparel/Footwear,47.25
Electronics/Appliances,47.0
Tools & Hardware,46.0
Textiles,46.0
Household/Personal Care,45.666666666666664
Savings Banks,44.833333333333336
Other Transportation,44.5
Apparel/Footwear Retail,43.666666666666664
Restaurants,43.5
Industrial Machinery,43.2
Homebuilding,43.0
Office Equipment/Supplies,42.666666666666664
Trucks/Construction/Farm Machinery,42.125
Airlines,42.0
Internet Retail,41.5
Recreational Products,41.3
Industrial Conglomerates,35.0
Electronics Distributors,34.75
Electronic Equipment/Instruments,32.0
Cable/Satellite TV,30.333333333333332
Publishing: Newspapers,30.0
Other Consumer Specialties,26.0
Consumer Sundries,24.0
