,Stock,RS_Rating,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High,Sector,Industry,Daily_change
177,LXU,100,14.85,10.85,9.5,3.3,24.93,Process Industries,Chemicals: Agricultural,-4.85
119,FLNG,100,21.41,19.64,17.97,8.67,29.34,Energy Minerals,Oil & Gas Production,10.48
292,UAN,100,103.76,81.29,74.34,34.0,150.3,Process Industries,Chemicals: Agricultural,1.84
260,SGML,100,10.78,9.61,8.65,3.84,15.22,Non-Energy Minerals,Other Metals/Minerals,-1.09
18,AMR,100,93.14,66.76,56.73,11.75,137.0,Energy Minerals,Coal,0.93
49,BTU,100,17.22,14.46,13.4,2.61,27.7,Energy Minerals,Coal,2.77
58,CEIX,100,29.11,26.62,24.83,8.65,41.31,Energy Minerals,Coal,9.47
0,AA,99,73.05,57.65,52.63,30.02,98.09,Non-Energy Minerals,Aluminum,-3.26
30,ARLP,99,14.02,11.75,10.59,5.45,16.16,Energy Minerals,Coal,0.84
217,OAS,99,138.46,121.22,113.99,58.67,158.48,Energy Minerals,Oil & Gas Production,2.9
313,WLL,99,75.66,66.48,62.1,32.39,90.89,Energy Minerals,Oil & Gas Production,3.83
200,MUR,99,34.39,28.77,27.07,14.91,43.2,Energy Minerals,Oil & Gas Production,3.83
310,WFRD,99,31.65,26.91,24.43,10.0,36.87,Industrial Services,Oilfield Services/Equipment,2.87
174,LNTH,99,37.72,30.24,29.2,19.3,58.28,Health Technology,Medical Specialties,-2.02
175,LPI,99,71.97,70.06,68.3,28.31,99.26,Energy Minerals,Oil & Gas Production,8.08
28,AR,99,22.4,19.52,18.07,8.81,31.27,Energy Minerals,Oil & Gas Production,7.65
169,KZR,99,14.11,11.81,10.23,4.61,18.55,Health Technology,Biotechnology,-1.47
157,IPI,99,54.91,44.39,41.16,22.82,93.87,Non-Energy Minerals,Other Metals/Minerals,1.06
301,VET,99,18.1,12.8,11.53,5.51,23.93,Energy Minerals,Oil & Gas Production,6.21
146,HPK,99,19.83,15.01,13.88,6.0,26.0,Industrial Services,Contract Drilling,4.7
144,HMHC,99,19.21,16.24,15.06,5.8,21.13,Consumer Services,Other Consumer Services,0.33
104,DVN,99,53.91,43.11,38.83,20.14,63.26,Energy Minerals,Oil & Gas Production,1.56
29,ARCH,99,120.64,97.78,88.49,39.39,163.99,Energy Minerals,Coal,-0.08
110,ERF,99,12.21,9.95,9.04,4.78,14.59,Energy Minerals,Oil & Gas Production,3.74
248,ROCC,99,32.93,29.02,26.81,11.81,42.66,Energy Minerals,Oil & Gas Production,3.25
249,RRC,99,22.72,21.11,19.63,8.47,32.06,Energy Minerals,Oil & Gas Production,8.28
191,MOS,98,50.24,41.31,38.74,28.26,71.5,Process Industries,Chemicals: Agricultural,4.04
152,ICL,98,10.37,8.77,8.14,5.75,12.21,Process Industries,Chemicals: Agricultural,0.92
62,CF,98,80.72,66.08,61.57,43.19,109.8,Process Industries,Chemicals: Agricultural,2.93
282,TRGP,98,63.42,55.2,52.22,30.6,75.93,Energy Minerals,Oil Refining/Marketing,3.8
203,NEX,98,7.32,5.28,5.04,3.06,9.67,Industrial Services,Oilfield Services/Equipment,0.32
170,LAC,98,27.64,27.53,24.31,11.84,41.56,Process Industries,Chemicals: Agricultural,-0.95
209,NOG,98,24.58,22.14,21.04,11.4,29.69,Energy Minerals,Oil & Gas Production,5.65
70,CLR,98,55.85,48.9,45.53,24.51,65.32,Energy Minerals,Oil & Gas Production,3.43
195,MRO,98,21.72,17.25,16.02,9.7,26.22,Energy Minerals,Oil & Gas Production,2.0
197,MTDR,98,47.58,41.2,38.83,21.8,57.5,Energy Minerals,Oil & Gas Production,2.62
