,Stock,RS_Rating,50 Day MA,150 Day Ma,200 Day MA,52 Week Low,52 week High,Sector,Industry,Daily_change,returnsMultiple
36,BTU,100,21.75,15.49,14.82,3.44,33.29,Energy Minerals,Coal,-1.63,7.86
158,LXU,100,18.83,12.56,10.9,3.58,27.24,Process Industries,Chemicals: Agricultural,3.01,5.18
20,AR,100,26.33,21.29,19.43,8.81,37.34,Energy Minerals,Oil & Gas Production,2.83,3.67
14,AMR,100,113.51,75.88,65.05,11.75,164.69,Energy Minerals,Coal,2.96,11.41
137,IPI,100,71.26,50.84,46.03,22.82,121.72,Non-Energy Minerals,Other Metals/Minerals,6.74,3.87
261,UAN,100,120.33,93.5,84.05,42.0,175.0,Process Industries,Chemicals: Agricultural,8.86,3.91
128,HPK,100,21.63,16.48,14.92,7.0,34.74,Industrial Services,Contract Drilling,7.91,4.29
42,CEIX,100,34.3,28.23,26.49,8.65,50.39,Energy Minerals,Coal,-0.84,4.88
233,SGML,100,12.5,10.41,9.45,3.98,19.48,Non-Energy Minerals,Other Metals/Minerals,9.02,4.12
266,VET,99,19.87,14.25,12.44,5.51,23.93,Energy Minerals,Oil & Gas Production,6.1,3.2
139,ISEE,99,15.93,15.79,14.24,5.62,19.34,Health Technology,Pharmaceuticals: Major,-4.45,2.71
272,VRTV,99,118.56,113.88,103.81,40.6,158.99,Distribution Services,Wholesale Distributors,0.58,2.87
178,MUR,99,37.35,30.81,28.37,14.91,44.63,Energy Minerals,Oil & Gas Production,3.16,2.54
154,LNTH,99,47.37,33.43,31.6,19.3,61.26,Health Technology,Medical Specialties,0.83,2.72
22,ARLP,99,14.65,12.5,11.29,5.45,17.69,Energy Minerals,Coal,-0.57,3.01
277,WFRD,99,32.95,28.81,25.67,10.0,40.16,Industrial Services,Oilfield Services/Equipment,1.51,3.48
21,ARCH,99,134.95,104.49,95.15,44.2,175.99,Energy Minerals,Coal,2.06,3.35
227,RYI,99,30.92,26.43,24.54,13.39,42.8,Non-Energy Minerals,Steel,1.15,2.72
182,NEX,99,8.58,5.91,5.39,3.06,11.72,Industrial Services,Oilfield Services/Equipment,2.8,3.08
93,ERF,99,12.68,10.68,9.49,4.78,14.59,Energy Minerals,Oil & Gas Production,2.53,2.55
223,RRC,99,26.36,22.72,20.83,8.47,34.61,Energy Minerals,Oil & Gas Production,4.85,3.47
242,SRRA,99,34.37,26.22,24.56,14.91,54.97,Health Technology,Biotechnology,-0.13,3.01
